

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
095.454  005.528  000.541: require('nvim-treesitter.configs')
096.648  000.396  000.396: require('nvim-treesitter.info')
097.098  000.447  000.447: require('nvim-treesitter.shell_command_selectors')
097.120  001.591  000.748: require('nvim-treesitter.install')
101.312  001.235  001.235: require('vim.diagnostic')
101.775  000.428  000.428: require('neodev')
102.041  000.263  000.263: require('neodev.config')
102.681  000.284  000.284: require('neodev.util')
102.685  000.598  000.313: require('neodev.lsp')
105.899  000.505  000.505: require('vim.lsp.log')
107.341  001.439  001.439: require('vim.lsp.protocol')
109.172  000.644  000.644: require('vim.lsp._snippet')
109.681  000.468  000.468: require('vim.highlight')
109.703  002.359  001.247: require('vim.lsp.util')
109.716  005.051  000.747: require('vim.lsp.handlers')
110.429  000.711  000.711: require('vim.lsp.rpc')
110.930  000.498  000.498: require('vim.lsp.sync')
111.768  000.834  000.834: require('vim.lsp.buf')
112.335  000.563  000.563: require('vim.lsp.diagnostic')
112.904  000.566  000.566: require('vim.lsp.codelens')
112.962  009.707  001.485: require('vim.lsp')
113.051  010.365  000.658: require('lspconfig.util')
114.220  000.205  000.205: require('cmp_nvim_lsp.source')
114.224  000.472  000.267: require('cmp_nvim_lsp')
115.012  000.263  000.263: require('mason-core.path')
115.024  000.526  000.264: require('mason.settings')
115.698  000.323  000.323: require('mason-core.functional')
116.252  000.237  000.237: require('mason-core.functional.data')
116.257  000.536  000.298: require('mason-core.functional.function')
116.515  000.248  000.248: require('mason-core.functional.relation')
116.772  000.251  000.251: require('mason-core.functional.logic')
116.790  001.764  000.407: require('mason-core.platform')
116.792  002.553  000.262: require('mason')
117.471  000.336  000.336: require('mason-core.functional.list')
117.489  000.686  000.350: require('mason.api.command')
118.138  000.345  000.345: require('mason-core.log')
118.141  000.647  000.302: require('mason-lspconfig')
118.398  000.233  000.233: require('mason-lspconfig.settings')
118.908  000.227  000.227: require('mason-core.notify')
118.912  000.500  000.273: require('mason-lspconfig.lspconfig_hook')
119.496  000.268  000.268: require('mason-core.functional.table')
119.536  000.582  000.314: require('mason-lspconfig.mappings.server')
120.446  000.339  000.339: require('mason-core.async')
120.682  000.233  000.233: require('mason-core.async.uv')
120.686  000.870  000.299: require('mason-core.fs')
120.949  000.261  000.261: require('mason-core.optional')
121.205  000.254  000.254: require('mason-core.EventEmitter')
121.543  000.336  000.336: require('mason-registry.index')
121.551  002.013  000.291: require('mason-registry')
121.774  000.221  000.221: require('mason-lspconfig.server_config_extensions')
